val_loss,epoch,step
1.9329248666763306,0,137
1.913731336593628,1,275
1.895472764968872,2,413
1.8781616687774658,3,551
1.861850619316101,4,689
1.8468012809753418,5,827
1.832607388496399,6,965
1.819145917892456,7,1103
1.806720495223999,8,1241
1.7952632904052734,9,1379
